user_id,signup_date,user_tier,region
TL0477,2026-01-05T00:00:00.000000,Eco-Ally,
TL0478,2026-01-26T00:00:00.000000,Basic,
TL0479,2026-01-17T00:00:00.000000,Basic,Asia
TL0480,2026-01-22T00:00:00.000000,Eco-Ally,North America
TL0481,2026-01-25T00:00:00.000000,Basic,Asia
TL0482,2026-01-09T00:00:00.000000,Basic,Asia
TL0483,2026-01-07T00:00:00.000000,Basic,
TL0484,2026-01-28T00:00:00.000000,Eco-Ally,Europe
TL0485,2026-01-01T00:00:00.000000,Basic,Asia
TL0486,2026-01-25T00:00:00.000000,Basic,Asia
TL0487,2026-01-19T00:00:00.000000,Eco-Ally,North America
TL0488,2026-01-06T00:00:00.000000,Eco-Ally,North America
TL0489,2026-01-29T00:00:00.000000,Basic,
TL0490,2026-01-30T00:00:00.000000,Basic,
TL0491,2026-01-03T00:00:00.000000,Basic,Asia
TL0492,2026-01-15T00:00:00.000000,Basic,
TL0493,2026-01-04T00:00:00.000000,Basic,Asia
TL0494,2026-01-05T00:00:00.000000,Basic,Europe
TL0495,2026-01-21T00:00:00.000000,Premium,North America
TL0496,2026-01-25T00:00:00.000000,Basic,
TL0497,2026-01-08T00:00:00.000000,Basic,North America
TL0498,2026-01-05T00:00:00.000000,Basic,Europe
TL0499,2026-01-16T00:00:00.000000,Basic,Asia
